,source,target,value
0,1,0,1
1,2,3,1
2,4,3,1
3,0,3,1
4,4,0,26
5,1,3,1
6,5,1,1
7,5,3,1
8,1,6,8
9,6,7,2
10,1,7,1
11,9,8,3
12,8,10,1
13,9,10,3
14,11,0,22
15,11,4,12
16,11,12,2
17,13,0,2
18,13,4,2
19,13,11,2
20,8,1,5
21,8,6,3
22,1,10,2
23,11,10,1
24,9,11,7
25,0,10,2
26,9,0,9
27,9,14,7
28,14,0,16
29,14,10,1
30,9,4,7
31,4,15,3
32,11,15,1
33,0,15,2
34,9,15,2
35,11,14,9
36,0,16,6
37,17,16,4
38,14,16,3
39,17,0,22
40,17,14,16
41,11,18,2
42,17,18,2
43,0,18,2
44,14,18,2
45,17,11,8
46,17,19,2
47,19,0,2
48,19,14,1
49,17,20,7
50,11,20,3
51,0,20,8
52,14,20,5
53,17,21,3
54,21,14,2
55,4,10,1
56,22,8,3
57,17,23,3
58,17,24,2
59,23,24,1
60,11,23,1
61,23,0,2
62,11,24,1
63,0,24,2
64,17,4,5
65,4,20,1
66,21,16,1
67,23,16,1
68,21,0,1
69,21,23,1
70,23,14,1
71,25,26,1
72,26,20,1
73,18,20,1
74,17,26,1
75,26,11,1
76,26,14,1
77,26,18,1
78,26,0,1
79,25,11,2
80,25,14,1
81,27,0,1
82,17,27,1
83,27,24,1
84,23,20,1
85,17,9,2
86,17,15,4
87,8,28,2
88,8,11,2
89,8,0,1
90,11,28,1
91,0,28,1
92,29,0,2
93,30,0,2
94,0,31,2
95,0,32,1
96,30,29,3
97,29,31,4
98,17,29,3
99,29,32,1
100,30,31,3
101,17,30,2
102,30,32,1
103,17,31,3
104,32,31,1
105,17,32,1
106,33,8,1
107,33,28,1
108,4,31,3
109,29,4,2
110,30,4,1
111,13,14,2
112,22,1,3
113,17,13,1
114,13,9,1
115,4,14,1
116,8,34,1
117,34,1,1
118,22,34,1
119,22,6,1
120,35,15,4
121,17,35,2
122,34,11,1
123,1,14,1
124,5,7,1
125,36,35,2
126,36,15,2
127,17,36,1
128,8,14,1
