character_name,Degree,Betweenness
NUTE_GUNRAY,0.278,0.128
QUI-GON,0.694,0.319
PK-4,0.028,0.0
TC-14,0.139,0.075
OBI-WAN,0.361,0.047
DOFINE,0.083,0.002
RUNE,0.111,0.004
TEY_HOW,0.083,0.001
CAPTAIN_PANAKA,0.25,0.01
EMPEROR,0.306,0.103
SIO_BIBBLE,0.194,0.005
JAR_JAR,0.5,0.152
TARPALS,0.028,0.0
BOSS_NASS,0.167,0.0
PADME,0.472,0.097
RIC_OLIE,0.194,0.025
WATTO,0.139,0.0
ANAKIN,0.611,0.167
SEBULBA,0.167,0.0
JIRA,0.083,0.0
SHMI,0.222,0.002
C-3PO,0.139,0.0
DARTH_MAUL,0.111,0.001
KITSTER,0.222,0.005
WALD,0.139,0.002
FODE/BEED,0.083,0.0
JABBA,0.194,0.006
GREEDO,0.083,0.0
VALORUM,0.111,0.016
MACE_WINDU,0.167,0.0
KI-ADI-MUNDI,0.167,0.0
YODA,0.167,0.0
RABE,0.139,0.0
BAIL_ORGANA,0.056,0.0
GENERAL_CEEL,0.111,0.007
BRAVO_TWO,0.083,0.0
BRAVO_THREE,0.083,0.0
