character_name,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality
ANAKIN,0.591,0.71,0.21,0.589
OBI-WAN,0.545,0.688,0.211,0.568
ODD_BALL,0.091,0.44,0.0,0.053
EMPEROR,0.455,0.629,0.205,0.292
COUNT_DOOKU,0.136,0.468,0.0,0.033
GENERAL_GRIEVOUS,0.136,0.458,0.014,0.04
BAIL_ORGANA,0.5,0.667,0.221,0.219
C-3PO,0.364,0.611,0.058,0.16
PADME,0.409,0.611,0.104,0.273
YODA,0.364,0.579,0.129,0.258
FANG_ZAR,0.182,0.44,0.0,0.024
MON_MOTHMA,0.182,0.44,0.0,0.024
GIDDEAN_DANU,0.182,0.44,0.0,0.012
MACE_WINDU,0.227,0.512,0.008,0.138
CAPTAIN_TYPHO,0.136,0.478,0.0,0.033
CLONE_COMMANDER_GREE,0.045,0.373,0.0,0.006
CLONE_COMMANDER_CODY,0.182,0.478,0.0,0.048
JAR_JAR,0.091,0.449,0.0,0.02
TION_MEDON,0.045,0.415,0.0,0.013
NUTE_GUNRAY,0.091,0.407,0.003,0.008
CAPTAIN_ANTILLES,0.091,0.423,0.0,0.014
QUI-GON,0.091,0.44,0.0,0.011
DARTH_VADER,0.045,0.393,0.0,0.007
